timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618575050838,341,HTTP Request,200,OK,Thread Group 1-5,text,true,,605,448,6,6,http://www.dneonline.com/calculator.asmx,341,0,0
1618575050882,318,HTTP Request,200,OK,Thread Group 1-9,text,true,,597,441,5,5,http://www.dneonline.com/calculator.asmx,318,0,0
1618575051056,339,HTTP Request,200,OK,Thread Group 1-6,text,true,,605,448,5,5,http://www.dneonline.com/calculator.asmx,339,0,0
1618575051121,323,HTTP Request,200,OK,Thread Group 1-8,text,true,,606,447,4,4,http://www.dneonline.com/calculator.asmx,323,0,0
1618575051148,320,HTTP Request,200,OK,Thread Group 1-7,text,true,,605,448,4,4,http://www.dneonline.com/calculator.asmx,320,0,0
1618575051155,355,HTTP Request,200,OK,Thread Group 1-10,text,true,,597,441,3,3,http://www.dneonline.com/calculator.asmx,355,0,0
1618575051203,313,HTTP Request,200,OK,Thread Group 1-9,text,true,,606,447,3,3,http://www.dneonline.com/calculator.asmx,313,0,0
1618575051447,349,HTTP Request,200,OK,Thread Group 1-8,text,true,,605,448,3,3,http://www.dneonline.com/calculator.asmx,349,0,0
1618575051519,327,HTTP Request,200,OK,Thread Group 1-9,text,true,,605,448,2,2,http://www.dneonline.com/calculator.asmx,327,0,0
1618575051513,337,HTTP Request,200,OK,Thread Group 1-10,text,true,,606,447,1,1,http://www.dneonline.com/calculator.asmx,336,0,0
1618575051852,327,HTTP Request,200,OK,Thread Group 1-10,text,true,,605,448,1,1,http://www.dneonline.com/calculator.asmx,327,0,0
